id,climate,recommendation,family_friendly,activity_type,language,tags,vibe,comfort_level
37,"Холодный и снежный","Ливан - Мзаар",true,"Горнолыжный,Культурный","Арабский,Английский","Активный отдых,Природа","Горы и природа","Бюджетный,Средний"
38,"Тёплый и умеренный","Марокко - Марракеш",true,"Горнолыжный,Культурный","Арабский,Французский","Городской отдых,Релакс","Восточная экзотика","Средний,Люкс"
39,"Тёплый и умеренный","Оман - Маскат",true,"Культурный,Пляжный","Арабский,Английский","Городской отдых,Релакс","Восточная экзотика,Морской курорт","Средний,Люкс"
40,"Тёплый и умеренный","Тунис - Сус",true,"Пляжный,Культурный","Арабский,Французский","Релакс,Романтика","Морской курорт,Восточная экзотика","Бюджетный,Средний"
41,"Тёплый и умеренный","Италия - Рим",true,"Культурный,Гастрономический","Итальянский,Английский","Городской отдых,Романтика","Европейская классика,Средневековая архитектура","Средний,Люкс"
42,"Жаркий и сухой","Алжир - Аннаба",true,"Пляжный,Культурный","Арабский,Французский","Релакс,Природа","Морской курорт","Бюджетный,Средний"
43,"Жаркий и влажный","Шри-Ланка - Галле",true,"Пляжный,Культурный","Другое,Английский","Релакс,Романтика","Морской курорт,Восточная экзотика","Бюджетный,Средний"
44,"Жаркий и влажный","Таиланд - Паттайя",true,"Пляжный,Приключенческий","Другое,Английский","Релакс,Активный отдых","Морской курорт","Бюджетный,Средний"
45,"Жаркий и сухой","ОАЭ - Дубай",true,"Пляжный,Культурный","Арабский,Английский","Релакс,Городской отдых","Морской курорт,Восточная экзотика","Люкс"
46,"Жаркий и сухой","Греция - Олимпийская Ривьера",true,"Пляжный,Культурный","Другое,Английский","Релакс,Природа","Морской курорт,Европейская классика","Средний,Люкс"
47,"Жаркий и сухой","Греция - Наусса",true,"Пляжный,Культурный","Другое,Английский","Релакс,Романтика","Морской курорт,Европейская классика","Средний,Люкс"
48,"Тёплый и умеренный","Франция - Париж",true,"Культурный,Гастрономический","Французский,Английский","Городской отдых,Романтика","Европейская классика","Средний,Люкс"
49,"Тёплый и умеренный","Италия - Флоренция",true,"Культурный,Гастрономический","Итальянский,Английский","Городской отдых,Романтика","Европейская классика,Средневековая архитектура","Средний,Люкс"
50,"Тёплый и умеренный","Португалия - Лиссабон",true,"Культурный,Гастрономический","Другое,Английский","Городской отдых,Романтика","Европейская классика,Морской курорт","Средний,Люкс"
51,"Холодный и снежный","Швейцария - Санкт-Мориц",true,"Горнолыжный,Приключенческий","Немецкий,Английский","Активный отдых,Релакс","Горы и природа","Люкс"
52,"Холодный и снежный","Япония - Ниско",true,"Горнолыжный,Экотуризм","Другое,Английский","Природа,Релакс","Горы и природа,Восточная экзотика","Средний,Люкс"
53,"Холодный и снежный","Канада - Лейк Луис",true,"Горнолыжный,Экотуризм","Английский","Природа,Активный отдых","Горы и природа","Средний,Люкс"
